"Temp1","Temp2","Temp3","Temp4","L_speed","Slurry","avg","std"
"50","39.9","69.7","103","3.5E-01","55.04",453,7.042726744663604
"50.1","38.9","70.5","102.9","3.5E-01","55.02",451.6666666666667,7.174027227901123
"50","39.4","68.7","103","3.5E-01","55",453.5,5.00999001995014
"50","39.3","71","103.1","3.5E-01","54.96",452.3333333333333,5.853773711604051
"50","39.5","70.2","103","3.5E-01","55.04",451.3333333333333,5.278888771954441
"50","40.4","69.7","103","3.5E-01","55.02",451.8333333333333,4.535048695071164
"50","40.2","71.40000000000001","103.2","3.5E-01","55.04",451.3333333333333,5.278888771954441
"50","40.1","69.5","103","3.5E-01","54.96",451.8333333333333,6.210206652492867
"50","39.7","70.90000000000001","103.1","3.5E-01","54.94",452.8333333333333,4.622409184253019
"50","38.7","69.3","102.9","3.5E-01","55.04",452.5,4.277849927241488
"50","39.1","69.40000000000001","103","3.5E-01","55",453.6666666666667,5.391351098441528
"50","38.3","67.2","103","3.5E-01","46.66",453.5,5.75325994545701
"50","39.2","71.59999999999999","103.1","3.5E-01","55.06",451.1666666666667,5.23131595936115
"50","40.2","70.09999999999999","103","3.5E-01","54.98",449.5,3.674234614174767
"50","41.2","71.59999999999999","103","3.5E-01","54.98",449.6666666666667,6.153589738247641
"50","40.6","70.2","103","3.5E-01","55.04",454.5,3.619392214170771
"50","40.1","71.40000000000001","103.1","3.5E-01","55",445.6666666666667,2.804757862395018
"50","39","69.2","102.9","3.5E-01","55",446.8333333333333,2.228601953392904
"50","39.5","69.8","103","3.5E-01","54.98",447,2
"50","39.4","70","103","3.5E-01","55.1",448.1666666666667,3.920034013457877
"50","40","72.09999999999999","103.1","3.5E-01","54.98",448.5,3.391164991562634
"50","40.8","70.40000000000001","103","3.5E-01","54.9",448.3333333333333,5.316640543300503
"50","41.9","70.09999999999999","103.1","3.5E-01","55.08",450.6666666666667,6.21825270205921
"50","41.5","70.09999999999999","103","3.5E-01","55.1",448.5,5.92452529743945
"50","41.6","69.8","103","3.5E-01","55.06",448.6666666666667,5.750362307426087
"50","40.8","70.09999999999999","102.9","3.5E-01","54.98",448.6666666666667,5.785038173311103
"50","40.9","70.09999999999999","103","3.5E-01","54.96",448.6666666666667,5.853773711604051
"50","39.7","69.3","102.9","3.5E-01","54.96",449.3333333333333,5.428320796219276
"50","39.6","70.90000000000001","103","3.5E-01","54.96",449.8333333333333,5.706721183540219
"50","39.7","69.40000000000001","103","3.5E-01","55.04",449.6666666666667,5.853773711604051
"50","39.6","71.40000000000001","102.9","3.5E-01","55.02",448.8333333333333,5.980523945831725
"50","39.3","69.7","103","3.5E-01","54.96",447.3333333333333,5.887840577551898
"50","39.1","70.3","103","3.5E-01","54.98",449.6666666666667,5.819507424745384
"50","39.1","68.8","102.9","3.5E-01","54.92",437.6666666666667,9.750213672872336
"50","38.8","68.90000000000001","103","3.5E-01","55.02",450,5.477225575051661
"50","39.2","69.8","103","3.5E-01","54.96",447.5,5.468089245796926
"50","38.9","70.7","103","3.5E-01","55.04",449.1666666666667,4.956477243634502
"50","39.3","69.3","103","3.5E-01","55.04",447.6666666666667,5.988878581726855
"50","38.9","72.40000000000001","103.1","3.5E-01","55.06",447.6666666666667,6.345602151621756
"49.9","39.3","68.7","102.9","3.5E-01","54.98",450,4.242640687119285
"50","39.1","70.5","103","3.5E-01","55.02",449.6666666666667,8.93681524183345
"50","39.7","69.90000000000001","103","3.5E-01","54.96",450,6.418722614352485
"50","39.2","70.5","103","3.5E-01","54.98",450.3333333333333,6.65331997326648
"50","39.3","69.3","103","3.5E-01","55.08",449.5,8.826097665446492
"50","39.5","70.7","103.1","3.5E-01","55.02",448.1666666666667,8.841191473249895
"50","38.6","69.2","103","3.5E-01","55",448.3333333333333,8.189424074174365
"50","39.8","70.5","103","3.5E-01","55.06",450.3333333333333,7.31209044437134
"50","39.8","70.7","103","3.5E-01","54.98",448.8333333333333,6.337717780610515
"50","39.9","68.90000000000001","102.9","3.5E-01","54.98",448,6.572670690061994
"50","39.7","70.59999999999999","103","3.5E-01","55.06",447.5,6.442049363362563
"50","39.6","68.90000000000001","103","3.5E-01","55",454.6666666666667,6.377042156569664
"50","39.4","69","103","3.5E-01","54.98",450.3333333333333,4.412104562073147
"50","39","69.5","103.1","3.5E-01","55.04",449.6666666666667,6.97614984548545
"50","39.1","69.8","103","3.5E-01","55.04",450.3333333333333,5.501514942874068
"50","39.4","70.40000000000001","103","3.5E-01","55.02",449.6666666666667,6.97614984548545
"50","39.8","69.2","103","3.5E-01","54.98",449.5,5.822370651203855
"50","39.1","69.59999999999999","103","3.5E-01","55.04",449.6666666666667,6.97614984548545
"50","39.6","69.8","103","3.5E-01","55.02",450.8333333333333,5.84522597225006
"50","39.7","70.7","103","3.5E-01","55.02",449.6666666666667,6.501281924871945
"50","40.8","69.8","103","3.5E-01","54.96",448.6666666666667,5.163977794943222
"50","41.9","70.3","103","3.5E-01","54.88",447,5.761944116355173
"50","42.3","70.3","103.1","3.5E-01","55",453.5,13.48703080740902
"50","42.1","69.59999999999999","103","3.5E-01","54.96",452.5,10.11434624679223
"50","41.2","71.2","103","3.5E-01","54.98",453.3333333333333,13.10979277741135
"50","40.9","69.40000000000001","102.9","3.5E-01","55.02",452.5,10.72846680565308
"50","42.2","70.2","103","3.5E-01","55",446.1666666666667,6.585337247754792
"50","42.8","69.90000000000001","103.1","3.5E-01","54.98",451.1666666666667,8.158839786799755
"50","42.3","69.40000000000001","103.1","3.5E-01","55.08",449.5,7.092249290598858
"50","42.5","70","103","3.5E-01","54.92",451,7.874007874011811
"50","42","69.90000000000001","103","3.5E-01","55.06",448.8333333333333,6.997618642557385
"50","42.7","70.2","103","3.5E-01","43.78",447.1666666666667,6.400520812142295
"50","41.1","70.09999999999999","102.8","3.5E-01","55.08",449.6666666666667,9.811557810392122
"50","39.6","69.8","103","3.5E-01","55.12",446.3333333333333,8.547904226573124
"50","41","70","103","3.5E-01","54.88",443.5,7.12039324756716
"50","40.4","69.59999999999999","102.9","3.5E-01","55.04",442.6666666666667,7.118052168020874
"50","42.3","69.8","102.9","3.5E-01","55.12",441,11.48912529307606
"50","42.5","71.2","103","3.5E-01","54.9",442,8.921883209278185
"50","43.3","70.09999999999999","102.9","3.5E-01","54.82",441,11.48912529307606
"48","43.5","68.5","103","3.5E-01","55.12",442.6666666666667,9.93310961716756
"48","43","69.2","103","3.5E-01","55.08",441,11.48912529307606
"48","42.3","68.5","103","3.5E-01","55.12",438.8333333333333,8.818541073594128
"48","41.4","71.90000000000001","103.1","3.5E-01","54.9",438.6666666666667,7.447594690010102
"48","42.2","69","103","3.5E-01","54.88",441.5,8.167006795638168
"48","42.7","68.8","102.9","3.5E-01","54.92",439.6666666666667,9.688481133111973
"48.1","42.7","68.90000000000001","103","3.5E-01","55",443.6666666666667,13.48579499572297
"48.1","42.7","69.3","103","3.5E-01","54.94",442.3333333333333,7.890923055426828
"48","42.7","68.7","102.9","3.5E-01","55.1",442.1666666666667,7.440878084384037
"48","42.2","69.2","103","3.5E-01","55.04",442,7.92464510246358
"48","41.7","68.7","102.9","3.5E-01","55.1",442,7.155417527999327
"48","39.1","69.59999999999999","103","3.5E-01","54.9",440.3333333333333,8.824209124146291
"48","39.7","68.09999999999999","102.9","3.5E-01","54.9",440,7.797435475847171
"48","40.2","70","103","3.5E-01","55.04",440.3333333333333,8.824209124146291
"48","40.3","69","103","3.5E-01","54.94",439.5,6.745368781616021
"48","40.6","68.8","103.1","3.5E-01","54.9",438.5,7.968688725254614
"48","40.6","68.2","103.1","3.5E-01","55.1",442.6666666666667,6.742897497861484
"48.1","40.8","71.59999999999999","103","3.5E-01","55.12",441.8333333333333,7.652886165798278
"48","41.5","68.90000000000001","103.1","3.5E-01","61.74",441.8333333333333,7.11102430502573
"48.1","42","70.7","103","3.5E-01","44.88",443.5,8.666025617317317
"48","44.1","62.1","103","3.5E-01","54.92",445.3333333333333,8.824209124146291
"48","44.8","62.7","103","3.5E-01","55",445.5,7.661592523751182
"48","45.1","62.7","103","3.5E-01","55.02",446,10.19803902718557
"48","45.2","62.9","102.9","3.5E-01","55.08",444.1666666666667,9.806460455570432
"48","45","62.6","103","3.5E-01","55.1",444.5,8.432081593533118
"48","44.8","62.5","103","3.5E-01","54.98",446.5,8.215838362577491
"48","44.6","62.4","102.9","3.5E-01","55.02",441.8333333333333,7.11102430502573
"48","43.5","61.7","103","3.5E-01","55",443.6666666666667,10.28915286438425
"48","43.5","62.4","103.1","3.5E-01","55.08",442.5,10.87658034494298
"48","37.8","66.7","101.6","3.5E-01","54.9",439.5,5.92452529743945
"48","38.5","68.59999999999999","101.9","3.5E-01","54.9",438.8333333333333,5.810909280540066
"48.1","38.9","69.3","102.1","3.5E-01","55.06",438.5,6.685805860178712
"48","40.5","68.90000000000001","103","3.5E-01","55.06",441,5.830951894845301
"48","39.3","69.3","103","3.5E-01","55.06",440.6666666666667,6.860515043833565
"48.1","39.9","69.40000000000001","102.9","3.5E-01","54.98",440.6666666666667,7.607014306984486
"48","39.5","67.7","103.1","3.5E-01","55.08",440.3333333333333,6.21825270205921
"48","39.3","69","103.1","3.5E-01","54.9",437.5,6.473020933072903
"48","38.5","69.2","103","3.5E-01","54.84",439.5,6.18869937870632
"48.1","40.3","69.09999999999999","103","3.5E-01","55.08",442,6.723094525588644
"48","40.7","69.59999999999999","102.9","3.5E-01","55.1",441.3333333333333,6.65331997326648
"48","41.7","72.40000000000001","103","3.5E-01","54.96",442.5,5.648008498577175
"48","41.7","69.09999999999999","103","3.5E-01","55.12",442.3333333333333,4.501851470969102
"48","40.8","68.40000000000001","103","3.5E-01","54.98",442.5,5.468089245796926
"48","40.8","69","103","3.5E-01","54.88",442,6.228964600958975
"48.1","40.2","68","103","3.5E-01","55.06",445.3333333333333,7.607014306984486
"48.1","39.8","68.7","102.9","3.5E-01","55",446,8.717797887081348
"48","39.7","69.7","103","3.5E-01","54.98",445.6666666666667,7.580677190506575
"48","39.4","68","103","3.5E-01","55.04",446,6.752777206453653
"48.1","38.8","69.3","103","3.5E-01","55",445,7.211102550927978
"48.1","40.2","68.7","102.9","3.5E-01","55",444.6666666666667,6.377042156569663
"48","39.7","69.5","102.9","3.5E-01","54.96",443.6666666666667,6.65331997326648
"48.1","40.5","68.7","103","3.5E-01","55.06",444.8333333333333,6.210206652492868
"48","40.4","66.3","103","3.29E-01","48.24",446,5.477225575051661
